Series_Title,Released_Year,Budget_USD_TMDb,Budget_Wikidata,Currency_Wikidata
The Godfather,1972.0,6000000.0,,
The Dark Knight,2008.0,185000000.0,,
The Godfather: Part II,1974.0,13000000.0,,
12 Angry Men,1957.0,397751.0,,
The Lord of the Rings: The Return of the King,2003.0,94000000.0,,
Pulp Fiction,1994.0,8000000.0,,
Schindler's List,1993.0,22000000.0,,
Inception,2010.0,160000000.0,,
Fight Club,1999.0,63000000.0,,
The Lord of the Rings: The Fellowship of the Ring,2001.0,93000000.0,,
Forrest Gump,1994.0,55000000.0,,
"Il buono, il brutto, il cattivo",1966.0,1200000.0,,
The Lord of the Rings: The Two Towers,2002.0,79000000.0,,
The Matrix,1999.0,63000000.0,,
Goodfellas,1990.0,25000000.0,,
Star Wars: Episode V - The Empire Strikes Back,1980.0,18000000.0,,
One Flew Over the Cuckoo's Nest,1975.0,3000000.0,,
Hamilton,2020.0,12500000.0,,
Gisaengchung,2019.0,11363000.0,,
Soorarai Pottru,2020.0,,,
Interstellar,2014.0,165000000.0,,
Cidade de Deus,2002.0,3300000.0,,
Sen to Chihiro no kamikakushi,2001.0,19000000.0,,
Saving Private Ryan,1998.0,70000000.0,,
The Green Mile,1999.0,60000000.0,,
La vita è bella,1997.0,20000000.0,,
Se7en,1995.0,33000000.0,,
The Silence of the Lambs,1991.0,19000000.0,,
Star Wars,1977.0,11000000.0,,
Seppuku,1962.0,,,
Shichinin no samurai,1954.0,2000000.0,,
It's a Wonderful Life,1946.0,,,
Joker,2019.0,55000000.0,,
Whiplash,2014.0,3300000.0,,
The Intouchables,2011.0,,,
The Prestige,2006.0,40000000.0,,
The Departed,2006.0,90000000.0,,
The Pianist,2002.0,35000000.0,,
Gladiator,2000.0,103000000.0,,
American History X,1998.0,20000000.0,,
The Usual Suspects,1995.0,6000000.0,,
Léon,1994.0,16000000.0,,
The Lion King,1994.0,45000000.0,,
Terminator 2: Judgment Day,1991.0,102000000.0,,
Nuovo Cinema Paradiso,1988.0,5000000.0,,
Hotaru no haka,1988.0,,,
Back to the Future,1985.0,19000000.0,,
Once Upon a Time in the West,1968.0,5000000.0,,
Psycho,1960.0,806947.0,,
Casablanca,1942.0,,,
Modern Times,1936.0,1500000.0,,
City Lights,1931.0,1500000.0,,
Capharnaüm,2018.0,,,
Ayla: The Daughter of War,2017.0,4200000.0,,
Vikram Vedha,2017.0,,,
Kimi no na wa.,2016.0,,,
Dangal,2016.0,10400000.0,,
Spider-Man: Into the Spider-Verse,2018.0,90000000.0,,
Avengers: Endgame,2019.0,356000000.0,,
Avengers: Infinity War,2018.0,300000000.0,,
Coco,2017.0,175000000.0,,
Django Unchained,2012.0,100000000.0,,
The Dark Knight Rises,2012.0,250000000.0,,
3 Idiots,2009.0,9000000.0,,
Taare Zameen Par,2007.0,2600000.0,,
WALL·E,2008.0,180000000.0,,
The Lives of Others,2006.0,2000000.0,,
Oldeuboi,2003.0,3000000.0,,
Memento,2000.0,9000000.0,,
Mononoke-hime,1997.0,23500000.0,,
Once Upon a Time in America,1984.0,30000000.0,,
Raiders of the Lost Ark,1981.0,18000000.0,,
The Shining,1980.0,19000000.0,,
Apocalypse Now,1979.0,31500000.0,,
Alien,1979.0,11000000.0,,
Anand,1971.0,,,
Tengoku to jigoku,1963.0,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,1800000.0,,
Witness for the Prosecution,1957.0,3000000.0,,
Paths of Glory,1957.0,935000.0,,
Rear Window,1954.0,1000000.0,,
Sunset Blvd.,1950.0,,,
The Great Dictator,1940.0,2000000.0,,
1917,2019.0,100000000.0,,
Tumbbad,2018.0,,,
Andhadhun,2018.0,4500000.0,,
Drishyam,2013.0,,,
Jagten,2012.0,3800000.0,,
Jodaeiye Nader az Simin,2011.0,5000000.0,,
Incendies,2010.0,6800000.0,,
Miracle in cell NO.7,2019.0,,,
Babam ve Oglum,2005.0,,,
Inglourious Basterds,2009.0,70000000.0,,
Eternal Sunshine of the Spotless Mind,2004.0,20000000.0,,
Amélie,2001.0,10000000.0,,
Snatch,2000.0,10000000.0,,
Requiem for a Dream,2000.0,4500000.0,,
American Beauty,1999.0,15000000.0,,
Good Will Hunting,1997.0,10000000.0,,
Bacheha-Ye aseman,1997.0,180000.0,,
Toy Story,1995.0,30000000.0,,
Braveheart,1995.0,72000000.0,,
Reservoir Dogs,1992.0,1200000.0,,
Full Metal Jacket,1987.0,30000000.0,,
Idi i smotri,1985.0,,,
Aliens,1986.0,18500000.0,,
Amadeus,1984.0,18000000.0,,
Scarface,1983.0,25000000.0,,
Star Wars: Episode VI - Return of the Jedi,1983.0,32350000.0,,
Das Boot,1981.0,,,
Taxi Driver,1976.0,1900000.0,,
The Sting,1973.0,5500000.0,,
A Clockwork Orange,1971.0,2200000.0,,
2001: A Space Odyssey,1968.0,12000000.0,,
Per qualche dollaro in più,1965.0,600000.0,,
Lawrence of Arabia,1962.0,15000000.0,,
The Apartment,1960.0,3000000.0,,
North by Northwest,1959.0,4000000.0,,
Vertigo,1958.0,2479000.0,,
Singin' in the Rain,1952.0,2540800.0,,
Ikiru,1952.0,,,
Ladri di biciclette,1948.0,133000.0,,
Double Indemnity,1944.0,,,
Citizen Kane,1941.0,839727.0,,
M - Eine Stadt sucht einen Mörder,1931.0,,,
Metropolis,1927.0,5300000.0,,
The Kid,1921.0,,,
Chhichhore,2019.0,6825000.0,,
Uri: The Surgical Strike,2018.0,,,
K.G.F: Chapter 1,2018.0,,,
Green Book,2018.0,23000000.0,,
"Three Billboards Outside Ebbing, Missouri",2017.0,15000000.0,,
Talvar,2015.0,,,
Baahubali 2: The Conclusion,2017.0,31000000.0,,
Klaus,2019.0,,,
Drishyam,2015.0,,,
Queen,2013.0,,,
Mandariinid,2013.0,,,
Bhaag Milkha Bhaag,2013.0,4600000.0,,
Gangs of Wasseypur,2012.0,1400000.0,,
Udaan,2010.0,,,
Paan Singh Tomar,2012.0,,,
El secreto de sus ojos,2009.0,2000000.0,,
Warrior,2011.0,25000000.0,,
Shutter Island,2010.0,80000000.0,,
Up,2009.0,175000000.0,,
The Wolf of Wall Street,2013.0,100000000.0,,
Chak De! India,2007.0,6300000.0,,
There Will Be Blood,2007.0,25000000.0,,
Pan's Labyrinth,2006.0,19000000.0,,
Toy Story 3,2010.0,200000000.0,,
V for Vendetta,2005.0,54000000.0,,
Rang De Basanti,2006.0,2200000.0,,
Black,2005.0,,,
Batman Begins,2005.0,150000000.0,,
"Swades: We, the People",2004.0,2900000.0,,
Der Untergang,2004.0,16000000.0,,
Hauru no ugoku shiro,2004.0,24000000.0,,
A Beautiful Mind,2001.0,58000000.0,,
Hera Pheri,2000.0,1666000.0,,
"Lock, Stock and Two Smoking Barrels",1998.0,1350000.0,,
L.A. Confidential,1997.0,35000000.0,,
Eskiya,1996.0,,,
Heat,1995.0,60000000.0,,
Casino,1995.0,50000000.0,,
Andaz Apna Apna,1994.0,,,
Unforgiven,1992.0,14400000.0,,
Indiana Jones and the Last Crusade,1989.0,48000000.0,,
Dom za vesanje,1988.0,,,
Tonari no Totoro,1988.0,3700000.0,,
Die Hard,1988.0,28000000.0,,
Ran,1985.0,,,
Raging Bull,1980.0,18000000.0,,
Stalker,1979.0,,,
Höstsonaten,1978.0,,,
The Message,1976.0,,,
Sholay,1975.0,408000.0,,
Monty Python and the Holy Grail,1975.0,400000.0,,
The Great Escape,1963.0,200000.0,,
To Kill a Mockingbird,1962.0,2000000.0,,
Yôjinbô,1961.0,,,
Judgment at Nuremberg,1961.0,3000000.0,,
Some Like It Hot,1959.0,2883848.0,,
Smultronstället,1957.0,,,
Det sjunde inseglet,1957.0,150000.0,,
Du rififi chez les hommes,1955.0,200000.0,,
Dial M for Murder,1954.0,,,
Tôkyô monogatari,1953.0,,,
Rashômon,1950.0,250000.0,,
All About Eve,1950.0,1400000.0,,
The Treasure of the Sierra Madre,1948.0,3800000.0,,
To Be or Not to Be,1942.0,1200000.0,,
The Gold Rush,1925.0,923000.0,,
Sherlock Jr.,1924.0,,,
Portrait de la jeune fille en feu,2019.0,5740000.0,,
Pink,2016.0,,,
Koe no katachi,2016.0,,,
Contratiempo,2016.0,4000000.0,,
Ah-ga-ssi,2016.0,8575000.0,,
Mommy,2014.0,4900000.0,,
Haider,2014.0,,,
Logan,2017.0,97000000.0,,
Room,2015.0,,,
Relatos salvajes,2014.0,4000000.0,,
Soul,2020.0,150000000.0,,
Kis Uykusu,2014.0,,,
PK,2014.0,4000.0,,
OMG: Oh My God!,2012.0,2500000.0,,
The Grand Budapest Hotel,2014.0,30000000.0,,
Gone Girl,2014.0,61000000.0,,
Ôkami kodomo no Ame to Yuki,2012.0,,,
Hacksaw Ridge,2016.0,40000000.0,,
Inside Out,2015.0,175000000.0,,
Barfi!,2012.0,4437508.0,,
12 Years a Slave,2013.0,20000000.0,,
Rush,2013.0,38000000.0,,
Ford v Ferrari,2019.0,97600000.0,,
Spotlight,2015.0,20000000.0,,
Song of the Sea,2014.0,,,
Kahaani,2012.0,,,
Zindagi Na Milegi Dobara,2011.0,7700000.0,,
Prisoners,2013.0,46000000.0,,
Mad Max: Fury Road,2015.0,150000000.0,,
A Wednesday,2008.0,1400000.0,,
Gran Torino,2008.0,33000000.0,,
Harry Potter and the Deathly Hallows: Part 2,2011.0,125000000.0,,
Okuribito,2008.0,,,
Hachi: A Dog's Tale,2009.0,16000000.0,,
Mary and Max,2009.0,8240000.0,,
How to Train Your Dragon,2010.0,150000000.0,,
Into the Wild,2007.0,15000000.0,,
No Country for Old Men,2007.0,25000000.0,,
Lage Raho Munna Bhai,2006.0,1800000.0,,
Million Dollar Baby,2004.0,30000000.0,,
Hotel Rwanda,2004.0,17500000.0,,
Taegukgi hwinalrimyeo,2004.0,1500000.0,,
Before Sunset,2004.0,2700000.0,,
Munna Bhai M.B.B.S.,2003.0,,,
Salinui chueok,2003.0,2800000.0,,
Dil Chahta Hai,2001.0,2079000.0,,
Kill Bill: Vol. 1,2003.0,30000000.0,,
Finding Nemo,2003.0,94000000.0,,
Catch Me If You Can,2002.0,52000000.0,,
Amores perros,2000.0,2000000.0,,
"Monsters, Inc.",2001.0,115000000.0,,
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997.0,,,
Lagaan: Once Upon a Time in India,2001.0,5200000.0,,
The Sixth Sense,1999.0,40000000.0,,
La leggenda del pianista sull'oceano,1998.0,9000000.0,,
The Truman Show,1998.0,60000000.0,,
"Crna macka, beli macor",1998.0,,,
The Big Lebowski,1998.0,15000000.0,,
Fa yeung nin wah,2000.0,,,
Trainspotting,1996.0,4000000.0,,
Fargo,1996.0,7000000.0,,
Underground,1995.0,,,
La haine,1995.0,2600000.0,,
Dilwale Dulhania Le Jayenge,1995.0,13200000.0,,
Before Sunrise,1995.0,2500000.0,,
Trois couleurs: Rouge,1994.0,,,
Chung Hing sam lam,1994.0,160000.0,,
Jurassic Park,1993.0,63000000.0,,
In the Name of the Father,1993.0,13000000.0,,
Ba wang bie ji,1993.0,4000000.0,,
Dà hóng denglong gaogao guà,1991.0,1000000.0,,
Dead Poets Society,1989.0,16400000.0,,
Stand by Me,1986.0,8000000.0,,
Platoon,1986.0,6000000.0,,
"Paris, Texas",1984.0,1750000.0,,
Kaze no tani no Naushika,1984.0,1000000.0,,
The Thing,1982.0,15000000.0,,
Pink Floyd: The Wall,1982.0,12000000.0,,
Fitzcarraldo,1982.0,7362000.0,,
Fanny och Alexander,1982.0,6000000.0,,
Blade Runner,1982.0,28000000.0,,
The Elephant Man,1980.0,5000000.0,,
Life of Brian,1979.0,4000000.0,,
The Deer Hunter,1978.0,15000000.0,,
Rocky,1976.0,1000000.0,,
Network,1976.0,3800000.0,,
Barry Lyndon,1975.0,11000000.0,,
Zerkalo,1975.0,825000.0,,
Chinatown,1974.0,6000000.0,,
Paper Moon,1973.0,2500000.0,,
Viskningar och rop,1972.0,400000.0,,
Solaris,1972.0,47000000.0,,
Le samouraï,1967.0,,,
Cool Hand Luke,1967.0,3200000.0,,
Persona,1966.0,,,
Andrei Rublev,1966.0,,,
La battaglia di Algeri,1966.0,800000.0,,
El ángel exterminador,1962.0,,,
What Ever Happened to Baby Jane?,1962.0,980000.0,,
Sanjuro,1962.0,,,
The Man Who Shot Liberty Valance,1962.0,3200000.0,,
Ivanovo detstvo,1962.0,,,
Jungfrukällan,1960.0,,,
Inherit the Wind,1960.0,2000000.0,,
Les quatre cents coups,1959.0,,,
Ben-Hur,1959.0,15000000.0,,
Kakushi-toride no san-akunin,1958.0,,,
Le notti di Cabiria,1957.0,,,
Kumonosu-jô,1957.0,,,
The Bridge on the River Kwai,1957.0,3000000.0,,
On the Waterfront,1954.0,910000.0,,
Le salaire de la peur,1953.0,,,
Ace in the Hole,1951.0,,,
White Heat,1949.0,1300000.0,,
The Third Man,1949.0,,,
The Red Shoes,1948.0,,,
The Shop Around the Corner,1940.0,500000.0,,
Rebecca,1940.0,1288000.0,,
Mr. Smith Goes to Washington,1939.0,1500000.0,,
Gone with the Wind,1939.0,4000000.0,,
La Grande Illusion,1937.0,,,
It Happened One Night,1934.0,325000.0,,
La passion de Jeanne d'Arc,1928.0,,,
The Circus,1928.0,,,
Sunrise: A Song of Two Humans,1927.0,,,
The General,1926.0,750000.0,,
Das Cabinet des Dr. Caligari,1920.0,18000.0,,
Badhaai ho,2018.0,4000000.0,,
Togo,2019.0,,,
Airlift,2016.0,4500000.0,,
Bajrangi Bhaijaan,2015.0,13000000.0,,
Baby,2015.0,,,
La La Land,2016.0,30000000.0,,
Lion,2016.0,12000000.0,,
The Martian,2015.0,108000000.0,,
Zootopia,2016.0,150000000.0,,
Bãhubali: The Beginning,2015.0,25130430.0,,
Kaguyahime no monogatari,2013.0,49300000.0,,
Wonder,2017.0,20000000.0,,
Gully Boy,2019.0,5782853.0,,
Special Chabbis,2013.0,7100000.0,,
Short Term 12,2013.0,3.0,,
Serbuan maut 2: Berandal,2014.0,4500000.0,,
The Imitation Game,2014.0,14000000.0,,
Guardians of the Galaxy,2014.0,170000000.0,,
Blade Runner 2049,2017.0,150000000.0,,
Her,2013.0,23000000.0,,
Bohemian Rhapsody,2018.0,52000000.0,,
The Revenant,2015.0,135000000.0,,
The Perks of Being a Wallflower,2012.0,13000000.0,,
Tropa de Elite 2: O Inimigo Agora é Outro,2010.0,,,
The King's Speech,2010.0,15000000.0,,
The Help,2011.0,25000000.0,,
Deadpool,2016.0,58000000.0,,
Darbareye Elly,2009.0,,,
Dev.D,2009.0,1700000.0,,
Yip Man,2008.0,,,
My Name Is Khan,2010.0,12000000.0,,
Nefes: Vatan Sagolsun,2009.0,2000000.0,,
Slumdog Millionaire,2008.0,15000000.0,,
Black Swan,2010.0,13000000.0,,
Tropa de Elite,2007.0,4000000.0,,
The Avengers,2012.0,220000000.0,,
Persepolis,2007.0,7300000.0,,
Dallas Buyers Club,2013.0,5000000.0,,
The Pursuit of Happyness,2006.0,55000000.0,,
Blood Diamond,2006.0,100000000.0,,
The Bourne Ultimatum,2007.0,70000000.0,,
Bin-jip,2004.0,,,
Sin City,2005.0,40000000.0,,
Le scaphandre et le papillon,2007.0,14000020.0,,
G.O.R.A.,2004.0,,,
Ratatouille,2007.0,150000000.0,,
Casino Royale,2006.0,150000000.0,,
Kill Bill: Vol. 2,2004.0,30000000.0,,
Vozvrashchenie,2003.0,,,
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003.0,,,
Mar adentro,2014.0,12806000.0,,
Cinderella Man,2005.0,88000000.0,,
Kal Ho Naa Ho,2003.0,,,
Mou gaan dou,2002.0,250000.0,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,140000000.0,,
Big Fish,2003.0,70000000.0,,
The Incredibles,2004.0,92000000.0,,
Yeopgijeogin geunyeo,2001.0,,,
Dogville,2003.0,10000000.0,,
Vizontele,2001.0,,,
Donnie Darko,2001.0,4500000.0,,
Magnolia,1999.0,37000000.0,,
Dancer in the Dark,2000.0,12500000.0,,
The Straight Story,1999.0,10000000.0,,
Pâfekuto burû,1997.0,830000.0,,
Festen,1998.0,1300000.0,,
Central do Brasil,1998.0,2900000.0,,
The Iron Giant,1999.0,50000000.0,,
Knockin' on Heaven's Door,1997.0,,,
Sling Blade,1996.0,1200000.0,,
Secrets & Lies,1996.0,4500000.0,,
Twelve Monkeys,1995.0,29000000.0,,
Kôkaku Kidôtai,1995.0,,,
The Nightmare Before Christmas,1993.0,18000000.0,,
Groundhog Day,1993.0,14600000.0,,
Bound by Honor,1993.0,35000000.0,,
Scent of a Woman,1992.0,31000000.0,,
Aladdin,1992.0,28000000.0,,
JFK,1991.0,40000000.0,,
Beauty and the Beast,1991.0,,,
Dances with Wolves,1990.0,22000000.0,,
Do the Right Thing,1989.0,6500000.0,,
Rain Man,1988.0,25000000.0,,
Akira,1988.0,5700000.0,,
The Princess Bride,1987.0,16000000.0,,
Der Himmel über Berlin,1987.0,2500000.0,,
Au revoir les enfants,1987.0,105.0,,
Tenkû no shiro Rapyuta,1986.0,3000000.0,,
The Terminator,1984.0,6400000.0,,
Gandhi,1982.0,22000000.0,,
Kagemusha,1980.0,6000000.0,,
Being There,1979.0,,,
Annie Hall,1977.0,4000000.0,,
Jaws,1975.0,7000000.0,,
Dog Day Afternoon,1975.0,1800000.0,,
Young Frankenstein,1974.0,2800000.0,,
Papillon,1973.0,12000000.0,,
The Exorcist,1973.0,12000000.0,,
Sleuth,1972.0,3500000.0,,
The Last Picture Show,1971.0,1300000.0,,
Fiddler on the Roof,1971.0,9000000.0,,
Il conformista,1970.0,750000.0,,
Butch Cassidy and the Sundance Kid,1969.0,6000000.0,,
Rosemary's Baby,1968.0,3200000.0,,
Planet of the Apes,1968.0,5800000.0,,
The Graduate,1967.0,3000000.0,,
Who's Afraid of Virginia Woolf?,1966.0,,,
The Sound of Music,1965.0,8200000.0,,
Doctor Zhivago,1965.0,11000000.0,,
Per un pugno di dollari,1964.0,200000.0,,
8½,1963.0,,,
Vivre sa vie: Film en douze tableaux,1962.0,64000.0,,
The Hustler,1961.0,2000000.0,,
La dolce vita,1960.0,,,
Rio Bravo,1959.0,1200000.0,,
Anatomy of a Murder,1959.0,2000000.0,,
Touch of Evil,1958.0,829000.0,,
Cat on a Hot Tin Roof,1958.0,,,
Sweet Smell of Success,1957.0,3400000.0,,
The Killing,1956.0,320000.0,,
The Night of the Hunter,1955.0,795000.0,,
La Strada,1954.0,,,
Les diaboliques,1955.0,,,
Stalag 17,1953.0,1661530.0,,
Roman Holiday,1953.0,,,
A Streetcar Named Desire,1951.0,,,
In a Lonely Place,1950.0,,,
Kind Hearts and Coronets,1949.0,,,
Rope,1948.0,1500000.0,,
Out of the Past,1947.0,,,
Brief Encounter,1945.0,,,
Laura,1944.0,,,
The Best Years of Our Lives,1946.0,2100000.0,,
Arsenic and Old Lace,1942.0,,,
The Maltese Falcon,1941.0,375000.0,,
The Grapes of Wrath,1940.0,800000.0,,
The Wizard of Oz,1939.0,2777000.0,,
La règle du jeu,1939.0,8847685.0,,
The Thin Man,1934.0,226408.0,,
All Quiet on the Western Front,1930.0,20000000.0,,
Bronenosets Potemkin,1925.0,,,
Knives Out,2019.0,40000000.0,,
Dil Bechara,2020.0,3025.0,,
Manbiki kazoku,2018.0,,,
Marriage Story,2019.0,18000000.0,,
Call Me by Your Name,2017.0,3500000.0,,
"I, Daniel Blake",2016.0,,,
Isle of Dogs,2018.0,62770198.0,,
Hunt for the Wilderpeople,2016.0,2500000.0,,
Captain Fantastic,2016.0,5000000.0,,
Sing Street,2016.0,4000000.0,,
Thor: Ragnarok,2017.0,180000000.0,,
Nightcrawler,2014.0,8500000.0,,
Jojo Rabbit,2019.0,14000000.0,,
Arrival,2016.0,47000000.0,,
Star Wars: Episode VII - The Force Awakens,2015.0,245000000.0,,
Before Midnight,2013.0,,,
X-Men: Days of Future Past,2014.0,250000000.0,,
Bir Zamanlar Anadolu'da,2011.0,,,
The Artist,2011.0,15000000.0,,
Edge of Tomorrow,2014.0,178000000.0,,
Amour,2012.0,8900000.0,,
The Irishman,2019.0,159000000.0,,
Un prophète,2009.0,13000000.0,,
Moon,2009.0,5000000.0,,
Låt den rätte komma in,2008.0,4000000.0,,
District 9,2009.0,30000000.0,,
The Wrestler,2008.0,,,
Jab We Met,2007.0,2300000.0,,
Boyhood,2014.0,4000000.0,,
"4 luni, 3 saptamâni si 2 zile",2007.0,852510.0,,
Star Trek,2009.0,150000000.0,,
In Bruges,2008.0,15000000.0,,
The Man from Earth,2007.0,200000.0,,
Letters from Iwo Jima,2006.0,19000000.0,,
The Fall,2006.0,30000000.0,,
Life of Pi,2012.0,120000000.0,,
